date_key,date,year,quarter,month_number,month_name,year_month
20140101,2014-01-01,2014,Q1,1,January,2014-01
20140201,2014-02-01,2014,Q1,2,February,2014-02
20140301,2014-03-01,2014,Q1,3,March,2014-03
20140401,2014-04-01,2014,Q2,4,April,2014-04
20140501,2014-05-01,2014,Q2,5,May,2014-05
20140601,2014-06-01,2014,Q2,6,June,2014-06
20140701,2014-07-01,2014,Q3,7,July,2014-07
20140801,2014-08-01,2014,Q3,8,August,2014-08
20140901,2014-09-01,2014,Q3,9,September,2014-09
20141001,2014-10-01,2014,Q4,10,October,2014-10
20141101,2014-11-01,2014,Q4,11,November,2014-11
20141201,2014-12-01,2014,Q4,12,December,2014-12
20150101,2015-01-01,2015,Q1,1,January,2015-01
20150201,2015-02-01,2015,Q1,2,February,2015-02
20150301,2015-03-01,2015,Q1,3,March,2015-03
20150401,2015-04-01,2015,Q2,4,April,2015-04
20150501,2015-05-01,2015,Q2,5,May,2015-05
20150601,2015-06-01,2015,Q2,6,June,2015-06
20150701,2015-07-01,2015,Q3,7,July,2015-07
20150801,2015-08-01,2015,Q3,8,August,2015-08
20150901,2015-09-01,2015,Q3,9,September,2015-09
20151001,2015-10-01,2015,Q4,10,October,2015-10
20151101,2015-11-01,2015,Q4,11,November,2015-11
20151201,2015-12-01,2015,Q4,12,December,2015-12
20160101,2016-01-01,2016,Q1,1,January,2016-01
20160201,2016-02-01,2016,Q1,2,February,2016-02
20160301,2016-03-01,2016,Q1,3,March,2016-03
20160401,2016-04-01,2016,Q2,4,April,2016-04
20160501,2016-05-01,2016,Q2,5,May,2016-05
20160601,2016-06-01,2016,Q2,6,June,2016-06
20160701,2016-07-01,2016,Q3,7,July,2016-07
20160801,2016-08-01,2016,Q3,8,August,2016-08
20160901,2016-09-01,2016,Q3,9,September,2016-09
20161001,2016-10-01,2016,Q4,10,October,2016-10
20161101,2016-11-01,2016,Q4,11,November,2016-11
20161201,2016-12-01,2016,Q4,12,December,2016-12
20170101,2017-01-01,2017,Q1,1,January,2017-01
20170201,2017-02-01,2017,Q1,2,February,2017-02
20170301,2017-03-01,2017,Q1,3,March,2017-03
20170401,2017-04-01,2017,Q2,4,April,2017-04
20170501,2017-05-01,2017,Q2,5,May,2017-05
20170601,2017-06-01,2017,Q2,6,June,2017-06
20170701,2017-07-01,2017,Q3,7,July,2017-07
20170801,2017-08-01,2017,Q3,8,August,2017-08
20170901,2017-09-01,2017,Q3,9,September,2017-09
20171001,2017-10-01,2017,Q4,10,October,2017-10
20171101,2017-11-01,2017,Q4,11,November,2017-11
20171201,2017-12-01,2017,Q4,12,December,2017-12
20180101,2018-01-01,2018,Q1,1,January,2018-01
20180201,2018-02-01,2018,Q1,2,February,2018-02
20180301,2018-03-01,2018,Q1,3,March,2018-03
20180401,2018-04-01,2018,Q2,4,April,2018-04
20180501,2018-05-01,2018,Q2,5,May,2018-05
20180601,2018-06-01,2018,Q2,6,June,2018-06
20180701,2018-07-01,2018,Q3,7,July,2018-07
20180801,2018-08-01,2018,Q3,8,August,2018-08
20180901,2018-09-01,2018,Q3,9,September,2018-09
20181001,2018-10-01,2018,Q4,10,October,2018-10
20181101,2018-11-01,2018,Q4,11,November,2018-11
20181201,2018-12-01,2018,Q4,12,December,2018-12
20190101,2019-01-01,2019,Q1,1,January,2019-01
20190201,2019-02-01,2019,Q1,2,February,2019-02
20190301,2019-03-01,2019,Q1,3,March,2019-03
20190401,2019-04-01,2019,Q2,4,April,2019-04
20190501,2019-05-01,2019,Q2,5,May,2019-05
20190601,2019-06-01,2019,Q2,6,June,2019-06
20190701,2019-07-01,2019,Q3,7,July,2019-07
20190801,2019-08-01,2019,Q3,8,August,2019-08
20190901,2019-09-01,2019,Q3,9,September,2019-09
20191001,2019-10-01,2019,Q4,10,October,2019-10
20191101,2019-11-01,2019,Q4,11,November,2019-11
20191201,2019-12-01,2019,Q4,12,December,2019-12
20200101,2020-01-01,2020,Q1,1,January,2020-01
20200201,2020-02-01,2020,Q1,2,February,2020-02
20200301,2020-03-01,2020,Q1,3,March,2020-03
20200401,2020-04-01,2020,Q2,4,April,2020-04
20200501,2020-05-01,2020,Q2,5,May,2020-05
20200601,2020-06-01,2020,Q2,6,June,2020-06
20200701,2020-07-01,2020,Q3,7,July,2020-07
20200801,2020-08-01,2020,Q3,8,August,2020-08
20200901,2020-09-01,2020,Q3,9,September,2020-09
20201001,2020-10-01,2020,Q4,10,October,2020-10
20201101,2020-11-01,2020,Q4,11,November,2020-11
20201201,2020-12-01,2020,Q4,12,December,2020-12
20210101,2021-01-01,2021,Q1,1,January,2021-01
20210201,2021-02-01,2021,Q1,2,February,2021-02
20210301,2021-03-01,2021,Q1,3,March,2021-03
20210401,2021-04-01,2021,Q2,4,April,2021-04
20210501,2021-05-01,2021,Q2,5,May,2021-05
20210601,2021-06-01,2021,Q2,6,June,2021-06
20210701,2021-07-01,2021,Q3,7,July,2021-07
20210801,2021-08-01,2021,Q3,8,August,2021-08
20210901,2021-09-01,2021,Q3,9,September,2021-09
20211001,2021-10-01,2021,Q4,10,October,2021-10
