mortality_fact_id,date_key,area_key,sex_key,age_group_key,registered_deaths,directly_standardised_rate,lower_95_ci,upper_95_ci,note
1,20140101,1,1,1,7,,,,Rate not calculated due to count <10
2,20140201,1,1,1,8,,,,Rate not calculated due to count <10
3,20140301,1,1,1,8,,,,Rate not calculated due to count <10
4,20140401,1,1,1,7,,,,Rate not calculated due to count <10
5,20140501,1,1,1,11,35.2,17.5,62.9,
6,20140601,1,1,1,9,,,,Rate not calculated due to count <10
7,20140701,1,1,1,10,28.0,13.4,51.5,
8,20140801,1,1,1,7,,,,Rate not calculated due to count <10
9,20140901,1,1,1,6,,,,Rate not calculated due to count <10
10,20141001,1,1,1,10,27.4,13.1,50.4,
11,20141101,1,1,1,9,,,,Rate not calculated due to count <10
12,20141201,1,1,1,11,34.4,17.1,61.6,
13,20150101,1,1,1,7,,,,Rate not calculated due to count <10
14,20150201,1,1,1,9,,,,Rate not calculated due to count <10
15,20150301,1,1,1,10,28.7,13.8,52.9,
16,20150401,1,1,1,5,,,,Rate not calculated due to count <10
17,20150501,1,1,1,9,,,,Rate not calculated due to count <10
18,20150601,1,1,1,8,,,,Rate not calculated due to count <10
19,20150701,1,1,1,7,,,,Rate not calculated due to count <10
20,20150801,1,1,1,6,,,,Rate not calculated due to count <10
21,20150901,1,1,1,5,,,,Rate not calculated due to count <10
22,20151001,1,1,1,5,,,,Rate not calculated due to count <10
23,20151101,1,1,1,10,31.2,14.9,57.5,
24,20151201,1,1,1,6,,,,Rate not calculated due to count <10
25,20160101,1,1,1,4,,,,Rate not calculated due to count <10
26,20160201,1,1,1,11,33.5,16.7,60.0,
27,20160301,1,1,1,8,,,,Rate not calculated due to count <10
28,20160401,1,1,1,7,,,,Rate not calculated due to count <10
29,20160501,1,1,1,4,,,,Rate not calculated due to count <10
30,20160601,1,1,1,8,,,,Rate not calculated due to count <10
31,20160701,1,1,1,9,,,,Rate not calculated due to count <10
32,20160801,1,1,1,11,33.5,16.7,59.9,
33,20160901,1,1,1,8,,,,Rate not calculated due to count <10
34,20161001,1,1,1,11,34.1,17.0,61.1,
35,20161101,1,1,1,3,,,,Rate not calculated due to count <10
36,20161201,1,1,1,8,,,,Rate not calculated due to count <10
37,20170101,1,1,1,8,,,,Rate not calculated due to count <10
38,20170201,1,1,1,3,,,,Rate not calculated due to count <10
39,20170301,1,1,1,7,,,,Rate not calculated due to count <10
40,20170401,1,1,1,6,,,,Rate not calculated due to count <10
41,20170501,1,1,1,4,,,,Rate not calculated due to count <10
42,20170601,1,1,1,4,,,,Rate not calculated due to count <10
43,20170701,1,1,1,9,,,,Rate not calculated due to count <10
44,20170801,1,1,1,4,,,,Rate not calculated due to count <10
45,20170901,1,1,1,9,,,,Rate not calculated due to count <10
46,20171001,1,1,1,3,,,,Rate not calculated due to count <10
47,20171101,1,1,1,7,,,,Rate not calculated due to count <10
48,20171201,1,1,1,6,,,,Rate not calculated due to count <10
49,20180101,1,1,1,8,,,,Rate not calculated due to count <10
